관광지명(소재지역),대분류명,중분류명,10대 이하 남성 비율,10대 이하 여성 비율,20대 남성 비율,20대 여성 비율,30대 남성 비율,30대 여성 비율,40대 남성 비율,40대 여성 비율,50대 남성 비율,50대 여성 비율,60대 남성 비율,60대 여성 비율,70대 이상 남성 비율,70대 이상 여성 비율
가락시장(가락농수산물도매시장),쇼핑,쇼핑,1.9,1.9,5.6,4.6,10.5,7.2,10.9,6.2,11.8,9.4,10.8,9.6,4.9,4.6
롯데월드아쿠아리움,인문(문화/예술/역사),문화시설,2.2,3.5,11.2,19.1,12.3,16.1,7.2,8.5,4.2,6.5,2.5,4.3,1,1.4
마천공원,인문(문화/예술/역사),휴양관광지,3.1,3,7.8,7.2,7.6,8.6,8.2,5.7,8.7,11.6,9.2,10.2,4.6,4.5
마천시장,쇼핑,쇼핑,3.3,3.4,7,5.4,6.9,6.6,7.3,6.5,9,11.5,9.7,11.6,5.2,6.5
몽촌역사관,인문(문화/예술/역사),문화시설,2.9,3.2,5,7.7,9,11.4,8.9,8.1,7.6,8.7,7.6,9.7,4.8,5.2
방이동고분공원,인문(문화/예술/역사),휴양관광지,5.5,5.4,7.3,7.7,8.8,8.7,7.4,8.2,7,9.5,6.8,9.3,3.8,4.4
방이동생태경관보전지역,자연,자연관광지,3.4,3.9,5.8,6.2,8.6,8.3,9.6,8.4,9,9,9.4,9,4.4,5.1
방이시장,쇼핑,쇼핑,3.2,2.8,8.3,10.4,12.6,11.2,7.6,7.1,7,8.5,6.4,7.7,3.3,4.1
백제초기적석총,인문(문화/예술/역사),역사관광지,5.5,7.1,5.1,5.5,12.1,12.1,6.2,9.4,5.5,8.1,6.3,8.1,4.2,4.7
불광사,인문(문화/예술/역사),역사관광지,1.2,2.2,8.8,13.1,11.7,11.3,8.4,6.6,7.5,7.9,6,9,2.3,4.2
서울몽촌토성,인문(문화/예술/역사),역사관광지,3.9,3.4,5.5,8.4,9.3,11.4,8.6,8.6,7.2,8.8,6.8,9.2,4.2,4.6
서울삼전도비,인문(문화/예술/역사),역사관광지,1.9,2.9,8.6,13.4,12.3,15.2,9.8,8.9,5.1,7.3,3.7,6.3,2,2.6
서울석촌동고분군,인문(문화/예술/역사),역사관광지,3.2,4.3,7.2,8.7,12.4,13.3,8.3,8.9,5.6,8,5.4,7.8,3.3,3.7
서울책보고,쇼핑,쇼핑,5.7,4.8,5.7,7.4,7.1,7.6,10,9.9,6.6,8.8,6.1,8.7,5.1,6.6
송파구자원순환공원,인문(문화/예술/역사),휴양관광지,1.4,1.2,9.2,5.3,15.2,6.1,15.4,4.8,16.5,5.5,10.1,4.7,2.9,1.7
송파책박물관,인문(문화/예술/역사),문화시설,3.7,4.6,5.5,5.7,9.5,12.4,9.8,9,6.3,9.4,7.6,9.3,3.6,3.7
신천어린이교통공원,인문(문화/예술/역사),휴양관광지,1.3,1.5,6.2,9.4,14,12.6,13.5,8.5,10.3,7.7,4.6,6.4,1.8,2
아시아공원,인문(문화/예술/역사),휴양관광지,4.2,5.3,8.6,10.7,9.7,9.4,9.5,7.9,7.4,7.2,5.8,6.2,4,3.9
오금공원,인문(문화/예술/역사),휴양관광지,5.9,5.1,6.9,6.5,8.7,7.6,7.4,7.3,8.2,10.6,7.8,9.7,4,4.6
올림픽공원,인문(문화/예술/역사),휴양관광지,4.7,4.9,7.1,11.6,8.8,10.6,7.9,8.3,6.5,8.6,6,7.9,3.4,3.8
이랜드크루즈잠실선착장,자연,자연관광지,8.9,7.9,4.5,6.4,5.5,8.1,10.8,12.9,8.4,7.7,4.9,6.4,3.2,4.4
잠실유수지공원,인문(문화/예술/역사),휴양관광지,4.1,3.9,8.3,7.4,11.3,9.6,8.6,6.8,7.1,8.9,6.6,7.8,5,4.5
풍납도깨비시장,쇼핑,쇼핑,2,1.5,7.3,9,10.1,8.4,7.5,6.7,7.6,9.5,8.6,10.5,5,6.4
풍납토성,인문(문화/예술/역사),역사관광지,2.4,1.9,6.8,6.9,9.5,8.7,7.9,6.6,8.1,9.6,10.1,10,5.3,6.1
한강시민공원잠실지구(잠실한강공원),인문(문화/예술/역사),휴양관광지,5.9,4.9,6.9,7.4,8.5,7.9,10.9,9.3,9.3,7.9,7,6.5,3.8,3.8
한성백제박물관,인문(문화/예술/역사),문화시설,6.2,6.4,6.4,8.6,8.3,9.4,9.1,8.7,7.4,8.4,6.3,7.9,3.5,3.4
한양공원,인문(문화/예술/역사),휴양관광지,5.3,8,5.9,7.9,8.7,9,6.6,7.6,7.2,9.9,7.2,8.8,3.2,4.7