기준년월,지자체,방문자 구분,방문자수
202305,잠실2동,현지인방문자(a),760452
202305,잠실2동,외지인방문자(b),733758
202305,잠실2동,외국인방문자(c),1552
202305,잠실2동,외부방문자(b+c),735309
202305,잠실2동,전체방문자(a+b+c),1495761
202305,잠실3동,현지인방문자(a),1222571
202305,잠실3동,외지인방문자(b),1243809
202305,잠실3동,외국인방문자(c),8894
202305,잠실3동,외부방문자(b+c),1252703
202305,잠실3동,전체방문자(a+b+c),2475274
202305,잠실6동,현지인방문자(a),1837038
202305,잠실6동,외지인방문자(b),2158426
202305,잠실6동,외국인방문자(c),12968
202305,잠실6동,외부방문자(b+c),2171394
202305,잠실6동,전체방문자(a+b+c),4008432
202306,잠실2동,현지인방문자(a),735903
202306,잠실2동,외지인방문자(b),902752
202306,잠실2동,외국인방문자(c),4453
202306,잠실2동,외부방문자(b+c),907204
202306,잠실2동,전체방문자(a+b+c),1643107
202306,잠실3동,현지인방문자(a),1185149
202306,잠실3동,외지인방문자(b),1143118
202306,잠실3동,외국인방문자(c),11422
202306,잠실3동,외부방문자(b+c),1154539
202306,잠실3동,전체방문자(a+b+c),2339688
202306,잠실6동,현지인방문자(a),1754610
202306,잠실6동,외지인방문자(b),2100234
202306,잠실6동,외국인방문자(c),16243
202306,잠실6동,외부방문자(b+c),2116477
202306,잠실6동,전체방문자(a+b+c),3871087
202307,잠실2동,현지인방문자(a),696703
202307,잠실2동,외지인방문자(b),677554
202307,잠실2동,외국인방문자(c),4663
202307,잠실2동,외부방문자(b+c),682217
202307,잠실2동,전체방문자(a+b+c),1378920
202307,잠실3동,현지인방문자(a),1124896
202307,잠실3동,외지인방문자(b),1152956
202307,잠실3동,외국인방문자(c),17572
202307,잠실3동,외부방문자(b+c),1170528
202307,잠실3동,전체방문자(a+b+c),2295424
202307,잠실6동,현지인방문자(a),1771798
202307,잠실6동,외지인방문자(b),2283883
202307,잠실6동,외국인방문자(c),21606
202307,잠실6동,외부방문자(b+c),2305489
202307,잠실6동,전체방문자(a+b+c),4077287
202308,잠실2동,현지인방문자(a),690270
202308,잠실2동,외지인방문자(b),550739
202308,잠실2동,외국인방문자(c),2401
202308,잠실2동,외부방문자(b+c),553140
202308,잠실2동,전체방문자(a+b+c),1243410
202308,잠실3동,현지인방문자(a),1107320
202308,잠실3동,외지인방문자(b),1167464
202308,잠실3동,외국인방문자(c),17469
202308,잠실3동,외부방문자(b+c),1184933
202308,잠실3동,전체방문자(a+b+c),2292252
202308,잠실6동,현지인방문자(a),1729063
202308,잠실6동,외지인방문자(b),2182632
202308,잠실6동,외국인방문자(c),21317
202308,잠실6동,외부방문자(b+c),2203948
202308,잠실6동,전체방문자(a+b+c),3933011
202309,잠실2동,현지인방문자(a),665693
202309,잠실2동,외지인방문자(b),695110
202309,잠실2동,외국인방문자(c),3006
202309,잠실2동,외부방문자(b+c),698116
202309,잠실2동,전체방문자(a+b+c),1363809
202309,잠실3동,현지인방문자(a),1187025
202309,잠실3동,외지인방문자(b),1321411
202309,잠실3동,외국인방문자(c),15168
202309,잠실3동,외부방문자(b+c),1336579
202309,잠실3동,전체방문자(a+b+c),2523604
202309,잠실6동,현지인방문자(a),1637839
202309,잠실6동,외지인방문자(b),1991913
202309,잠실6동,외국인방문자(c),22332
202309,잠실6동,외부방문자(b+c),2014245
202309,잠실6동,전체방문자(a+b+c),3652084
202310,잠실2동,현지인방문자(a),657895
202310,잠실2동,외지인방문자(b),593106
202310,잠실2동,외국인방문자(c),2941
202310,잠실2동,외부방문자(b+c),596048
202310,잠실2동,전체방문자(a+b+c),1253943
202310,잠실3동,현지인방문자(a),1247624
202310,잠실3동,외지인방문자(b),1562998
202310,잠실3동,외국인방문자(c),19763
202310,잠실3동,외부방문자(b+c),1582762
202310,잠실3동,전체방문자(a+b+c),2830386
202310,잠실6동,현지인방문자(a),1722038
202310,잠실6동,외지인방문자(b),2178908
202310,잠실6동,외국인방문자(c),29474
202310,잠실6동,외부방문자(b+c),2208381
202310,잠실6동,전체방문자(a+b+c),3930420
202311,잠실2동,현지인방문자(a),646160
202311,잠실2동,외지인방문자(b),557144
202311,잠실2동,외국인방문자(c),1532
202311,잠실2동,외부방문자(b+c),558676
202311,잠실2동,전체방문자(a+b+c),1204835
202311,잠실3동,현지인방문자(a),1234639
202311,잠실3동,외지인방문자(b),1582280
202311,잠실3동,외국인방문자(c),17658
202311,잠실3동,외부방문자(b+c),1599938
202311,잠실3동,전체방문자(a+b+c),2834577
202311,잠실6동,현지인방문자(a),1711916
202311,잠실6동,외지인방문자(b),2211111
202311,잠실6동,외국인방문자(c),25871
202311,잠실6동,외부방문자(b+c),2236982
202311,잠실6동,전체방문자(a+b+c),3948899
202312,잠실2동,현지인방문자(a),636002
202312,잠실2동,외지인방문자(b),472720
202312,잠실2동,외국인방문자(c),2622
202312,잠실2동,외부방문자(b+c),475342
202312,잠실2동,전체방문자(a+b+c),1111345
202312,잠실3동,현지인방문자(a),1238223
202312,잠실3동,외지인방문자(b),1800012
202312,잠실3동,외국인방문자(c),24826
202312,잠실3동,외부방문자(b+c),1824838
202312,잠실3동,전체방문자(a+b+c),3063061
202312,잠실6동,현지인방문자(a),1802504
202312,잠실6동,외지인방문자(b),2730836
202312,잠실6동,외국인방문자(c),27771
202312,잠실6동,외부방문자(b+c),2758608
202312,잠실6동,전체방문자(a+b+c),4561111
202401,잠실2동,현지인방문자(a),623634
202401,잠실2동,외지인방문자(b),344127
202401,잠실2동,외국인방문자(c),2163
202401,잠실2동,외부방문자(b+c),346290
202401,잠실2동,전체방문자(a+b+c),969924
202401,잠실3동,현지인방문자(a),1200294
202401,잠실3동,외지인방문자(b),1427772
202401,잠실3동,외국인방문자(c),15669
202401,잠실3동,외부방문자(b+c),1443442
202401,잠실3동,전체방문자(a+b+c),2643735
202401,잠실6동,현지인방문자(a),1723144
202401,잠실6동,외지인방문자(b),2149728
202401,잠실6동,외국인방문자(c),18704
202401,잠실6동,외부방문자(b+c),2168432
202401,잠실6동,전체방문자(a+b+c),3891577
202402,잠실2동,현지인방문자(a),573710
202402,잠실2동,외지인방문자(b),311696
202402,잠실2동,외국인방문자(c),2008
202402,잠실2동,외부방문자(b+c),313704
202402,잠실2동,전체방문자(a+b+c),887413
202402,잠실3동,현지인방문자(a),1128939
202402,잠실3동,외지인방문자(b),1456644
202402,잠실3동,외국인방문자(c),17290
202402,잠실3동,외부방문자(b+c),1473934
202402,잠실3동,전체방문자(a+b+c),2602873
202402,잠실6동,현지인방문자(a),1565182
202402,잠실6동,외지인방문자(b),2022150
202402,잠실6동,외국인방문자(c),18324
202402,잠실6동,외부방문자(b+c),2040474
202402,잠실6동,전체방문자(a+b+c),3605656
202403,잠실2동,현지인방문자(a),684740
202403,잠실2동,외지인방문자(b),582768
202403,잠실2동,외국인방문자(c),3333
202403,잠실2동,외부방문자(b+c),586101
202403,잠실2동,전체방문자(a+b+c),1270841
202403,잠실3동,현지인방문자(a),1285868
202403,잠실3동,외지인방문자(b),1517156
202403,잠실3동,외국인방문자(c),28308
202403,잠실3동,외부방문자(b+c),1545463
202403,잠실3동,전체방문자(a+b+c),2831332
202403,잠실6동,현지인방문자(a),1829590
202403,잠실6동,외지인방문자(b),2312174
202403,잠실6동,외국인방문자(c),36691
202403,잠실6동,외부방문자(b+c),2348864
202403,잠실6동,전체방문자(a+b+c),4178454
202404,잠실2동,현지인방문자(a),688618
202404,잠실2동,외지인방문자(b),744488
202404,잠실2동,외국인방문자(c),3840
202404,잠실2동,외부방문자(b+c),748329
202404,잠실2동,전체방문자(a+b+c),1436947
202404,잠실3동,현지인방문자(a),1388180
202404,잠실3동,외지인방문자(b),1842827
202404,잠실3동,외국인방문자(c),33957
202404,잠실3동,외부방문자(b+c),1876784
202404,잠실3동,전체방문자(a+b+c),3264965
202404,잠실6동,현지인방문자(a),1748432
202404,잠실6동,외지인방문자(b),2422262
202404,잠실6동,외국인방문자(c),45592
202404,잠실6동,외부방문자(b+c),2467854
202404,잠실6동,전체방문자(a+b+c),4216286